order_id,date,time,Days,Months
1,1/1/2015,11:38:36,Thu,Jan
2,1/1/2015,11:57:40,Thu,Jan
3,1/1/2015,12:12:28,Thu,Jan
4,1/1/2015,12:16:31,Thu,Jan
5,1/1/2015,12:21:30,Thu,Jan
6,1/1/2015,12:29:36,Thu,Jan
7,1/1/2015,12:50:37,Thu,Jan
8,1/1/2015,12:51:37,Thu,Jan
9,1/1/2015,12:52:01,Thu,Jan
10,1/1/2015,13:00:15,Thu,Jan
11,1/1/2015,13:02:59,Thu,Jan
12,1/1/2015,13:04:41,Thu,Jan
13,1/1/2015,13:11:55,Thu,Jan
14,1/1/2015,13:14:19,Thu,Jan
15,1/1/2015,13:33:00,Thu,Jan
16,1/1/2015,13:34:07,Thu,Jan
17,1/1/2015,13:53:00,Thu,Jan
18,1/1/2015,13:57:08,Thu,Jan
19,1/1/2015,13:59:09,Thu,Jan
20,1/1/2015,14:03:08,Thu,Jan
21,1/1/2015,14:14:29,Thu,Jan
22,1/1/2015,14:16:26,Thu,Jan
23,1/1/2015,14:19:03,Thu,Jan
24,1/1/2015,14:23:01,Thu,Jan
25,1/1/2015,14:44:44,Thu,Jan
26,1/1/2015,14:54:26,Thu,Jan
27,1/1/2015,15:11:17,Thu,Jan
28,1/1/2015,15:35:46,Thu,Jan
29,1/1/2015,15:41:01,Thu,Jan
30,1/1/2015,15:41:25,Thu,Jan
31,1/1/2015,15:50:18,Thu,Jan
32,1/1/2015,15:53:18,Thu,Jan
33,1/1/2015,15:54:08,Thu,Jan
34,1/1/2015,16:21:21,Thu,Jan
35,1/1/2015,16:32:04,Thu,Jan
36,1/1/2015,16:54:09,Thu,Jan
37,1/1/2015,16:56:09,Thu,Jan
38,1/1/2015,17:03:00,Thu,Jan
39,1/1/2015,17:07:23,Thu,Jan
40,1/1/2015,17:14:36,Thu,Jan
41,1/1/2015,17:15:20,Thu,Jan
42,1/1/2015,17:28:09,Thu,Jan
43,1/1/2015,17:38:34,Thu,Jan
44,1/1/2015,17:54:20,Thu,Jan
45,1/1/2015,17:55:48,Thu,Jan
46,1/1/2015,18:25:51,Thu,Jan
47,1/1/2015,18:26:34,Thu,Jan
48,1/1/2015,18:26:42,Thu,Jan
49,1/1/2015,18:33:00,Thu,Jan
50,1/1/2015,18:41:01,Thu,Jan
51,1/1/2015,18:48:28,Thu,Jan
52,1/1/2015,18:53:02,Thu,Jan
53,1/1/2015,18:54:17,Thu,Jan
54,1/1/2015,19:01:45,Thu,Jan
55,1/1/2015,19:03:19,Thu,Jan
56,1/1/2015,19:07:00,Thu,Jan
57,1/1/2015,19:10:51,Thu,Jan
58,1/1/2015,19:30:40,Thu,Jan
59,1/1/2015,19:40:08,Thu,Jan
60,1/1/2015,20:05:16,Thu,Jan
61,1/1/2015,20:08:43,Thu,Jan
62,1/1/2015,20:50:16,Thu,Jan
63,1/1/2015,20:51:42,Thu,Jan
64,1/1/2015,20:52:08,Thu,Jan
65,1/1/2015,21:16:00,Thu,Jan
66,1/1/2015,21:47:55,Thu,Jan
67,1/1/2015,22:03:40,Thu,Jan
68,1/1/2015,22:07:32,Thu,Jan
69,1/1/2015,22:12:13,Thu,Jan
70,1/2/2015,11:38:51,Fri,Jan
71,1/2/2015,11:40:50,Fri,Jan
72,1/2/2015,11:57:25,Fri,Jan
73,1/2/2015,11:58:56,Fri,Jan
74,1/2/2015,12:01:12,Fri,Jan
75,1/2/2015,12:10:15,Fri,Jan
76,1/2/2015,12:21:17,Fri,Jan
77,1/2/2015,12:22:46,Fri,Jan
78,1/2/2015,12:28:14,Fri,Jan
79,1/2/2015,12:29:11,Fri,Jan
80,1/2/2015,12:35:38,Fri,Jan
81,1/2/2015,12:40:01,Fri,Jan
82,1/2/2015,12:45:51,Fri,Jan
83,1/2/2015,12:53:27,Fri,Jan
84,1/2/2015,13:13:41,Fri,Jan
85,1/2/2015,13:34:49,Fri,Jan
86,1/2/2015,13:40:31,Fri,Jan
87,1/2/2015,14:01:02,Fri,Jan
88,1/2/2015,14:10:08,Fri,Jan
89,1/2/2015,14:30:19,Fri,Jan
90,1/2/2015,15:08:48,Fri,Jan
91,1/2/2015,15:14:43,Fri,Jan
92,1/2/2015,15:17:02,Fri,Jan
93,1/2/2015,15:29:31,Fri,Jan
94,1/2/2015,16:17:16,Fri,Jan
95,1/2/2015,16:18:04,Fri,Jan
96,1/2/2015,16:21:20,Fri,Jan
97,1/2/2015,16:45:33,Fri,Jan
98,1/2/2015,17:18:18,Fri,Jan
99,1/2/2015,17:45:42,Fri,Jan
100,1/2/2015,17:46:17,Fri,Jan
101,1/2/2015,17:51:33,Fri,Jan
102,1/2/2015,17:54:04,Fri,Jan
103,1/2/2015,18:02:09,Fri,Jan
104,1/2/2015,18:02:12,Fri,Jan
105,1/2/2015,18:12:01,Fri,Jan
106,1/2/2015,18:12:13,Fri,Jan
107,1/2/2015,18:25:09,Fri,Jan
108,1/2/2015,18:25:25,Fri,Jan
109,1/2/2015,18:27:50,Fri,Jan
110,1/2/2015,18:36:19,Fri,Jan
111,1/2/2015,18:38:01,Fri,Jan
112,1/2/2015,18:41:40,Fri,Jan
113,1/2/2015,18:50:21,Fri,Jan
114,1/2/2015,18:59:32,Fri,Jan
115,1/2/2015,19:05:17,Fri,Jan
116,1/2/2015,19:18:49,Fri,Jan
117,1/2/2015,19:23:02,Fri,Jan
118,1/2/2015,19:26:59,Fri,Jan
119,1/2/2015,19:32:29,Fri,Jan
120,1/2/2015,19:35:07,Fri,Jan
121,1/2/2015,19:38:48,Fri,Jan
122,1/2/2015,19:50:19,Fri,Jan
123,1/2/2015,20:12:09,Fri,Jan
124,1/2/2015,20:12:34,Fri,Jan
125,1/2/2015,20:31:06,Fri,Jan
126,1/2/2015,20:53:42,Fri,Jan
127,1/2/2015,20:58:23,Fri,Jan
128,1/2/2015,21:05:06,Fri,Jan
129,1/2/2015,21:13:02,Fri,Jan
130,1/2/2015,21:14:55,Fri,Jan
131,1/2/2015,21:33:10,Fri,Jan
132,1/2/2015,21:42:45,Fri,Jan
133,1/2/2015,22:00:17,Fri,Jan
134,1/2/2015,22:13:24,Fri,Jan
135,1/2/2015,22:29:34,Fri,Jan
136,1/2/2015,22:32:49,Fri,Jan
137,1/3/2015,11:34:10,Sat,Jan
138,1/3/2015,11:44:50,Sat,Jan
139,1/3/2015,11:57:39,Sat,Jan
140,1/3/2015,12:26:44,Sat,Jan
141,1/3/2015,13:16:01,Sat,Jan
142,1/3/2015,13:33:59,Sat,Jan
143,1/3/2015,13:41:36,Sat,Jan
144,1/3/2015,13:44:28,Sat,Jan
145,1/3/2015,13:53:48,Sat,Jan
146,1/3/2015,14:22:10,Sat,Jan
147,1/3/2015,14:32:51,Sat,Jan
148,1/3/2015,14:40:42,Sat,Jan
149,1/3/2015,14:48:45,Sat,Jan
150,1/3/2015,14:49:58,Sat,Jan
151,1/3/2015,15:09:34,Sat,Jan
152,1/3/2015,15:09:42,Sat,Jan
153,1/3/2015,15:16:34,Sat,Jan
154,1/3/2015,15:22:43,Sat,Jan
155,1/3/2015,15:28:59,Sat,Jan
156,1/3/2015,15:42:19,Sat,Jan
157,1/3/2015,15:43:03,Sat,Jan
158,1/3/2015,15:54:30,Sat,Jan
159,1/3/2015,15:59:22,Sat,Jan
160,1/3/2015,16:35:33,Sat,Jan
161,1/3/2015,16:43:46,Sat,Jan
162,1/3/2015,16:51:22,Sat,Jan
163,1/3/2015,16:54:54,Sat,Jan
164,1/3/2015,16:56:33,Sat,Jan
165,1/3/2015,16:57:37,Sat,Jan
166,1/3/2015,16:58:51,Sat,Jan
167,1/3/2015,17:00:49,Sat,Jan
168,1/3/2015,17:02:27,Sat,Jan
169,1/3/2015,17:15:48,Sat,Jan
170,1/3/2015,17:21:31,Sat,Jan
171,1/3/2015,17:23:03,Sat,Jan
172,1/3/2015,17:29:24,Sat,Jan
173,1/3/2015,17:35:30,Sat,Jan
174,1/3/2015,17:37:49,Sat,Jan
175,1/3/2015,17:50:51,Sat,Jan
176,1/3/2015,17:51:57,Sat,Jan
177,1/3/2015,17:54:36,Sat,Jan
178,1/3/2015,18:15:03,Sat,Jan
179,1/3/2015,18:20:14,Sat,Jan
180,1/3/2015,18:33:34,Sat,Jan
181,1/3/2015,18:49:32,Sat,Jan
182,1/3/2015,18:50:10,Sat,Jan
183,1/3/2015,18:54:55,Sat,Jan
184,1/3/2015,18:59:05,Sat,Jan
185,1/3/2015,19:08:33,Sat,Jan
186,1/3/2015,19:36:00,Sat,Jan
187,1/3/2015,19:37:12,Sat,Jan
188,1/3/2015,20:08:39,Sat,Jan
189,1/3/2015,20:12:14,Sat,Jan
190,1/3/2015,20:14:23,Sat,Jan
191,1/3/2015,20:24:50,Sat,Jan
192,1/3/2015,20:30:08,Sat,Jan
193,1/3/2015,20:55:47,Sat,Jan
194,1/3/2015,21:21:24,Sat,Jan
195,1/3/2015,21:25:20,Sat,Jan
196,1/3/2015,21:40:14,Sat,Jan
197,1/3/2015,21:47:48,Sat,Jan
198,1/3/2015,21:55:42,Sat,Jan
199,1/3/2015,22:10:38,Sat,Jan
200,1/3/2015,22:24:05,Sat,Jan
201,1/3/2015,22:29:59,Sat,Jan
202,1/3/2015,22:50:29,Sat,Jan
203,1/4/2015,11:30:48,Sun,Jan
204,1/4/2015,11:36:25,Sun,Jan
205,1/4/2015,11:43:54,Sun,Jan
206,1/4/2015,11:45:10,Sun,Jan
207,1/4/2015,12:03:58,Sun,Jan
208,1/4/2015,12:12:05,Sun,Jan
209,1/4/2015,12:29:17,Sun,Jan
210,1/4/2015,12:34:13,Sun,Jan
211,1/4/2015,12:54:20,Sun,Jan
212,1/4/2015,13:16:03,Sun,Jan
213,1/4/2015,13:20:39,Sun,Jan
214,1/4/2015,13:39:16,Sun,Jan
215,1/4/2015,13:44:49,Sun,Jan
216,1/4/2015,14:31:56,Sun,Jan
217,1/4/2015,14:35:03,Sun,Jan
218,1/4/2015,14:35:11,Sun,Jan
219,1/4/2015,14:42:01,Sun,Jan
220,1/4/2015,15:31:59,Sun,Jan
221,1/4/2015,15:33:18,Sun,Jan
222,1/4/2015,15:46:38,Sun,Jan
223,1/4/2015,16:08:20,Sun,Jan
224,1/4/2015,16:39:58,Sun,Jan
225,1/4/2015,16:41:48,Sun,Jan
226,1/4/2015,16:59:39,Sun,Jan
227,1/4/2015,17:24:39,Sun,Jan
228,1/4/2015,17:31:24,Sun,Jan
229,1/4/2015,17:37:57,Sun,Jan
230,1/4/2015,17:58:38,Sun,Jan
231,1/4/2015,18:04:18,Sun,Jan
232,1/4/2015,18:21:59,Sun,Jan
233,1/4/2015,18:26:51,Sun,Jan
234,1/4/2015,18:36:09,Sun,Jan
235,1/4/2015,18:51:30,Sun,Jan
236,1/4/2015,19:21:04,Sun,Jan
237,1/4/2015,19:27:48,Sun,Jan
238,1/4/2015,19:45:15,Sun,Jan
239,1/4/2015,19:57:52,Sun,Jan
240,1/4/2015,20:10:24,Sun,Jan
241,1/4/2015,20:11:25,Sun,Jan
242,1/4/2015,20:15:29,Sun,Jan
243,1/4/2015,20:26:17,Sun,Jan
244,1/4/2015,20:26:22,Sun,Jan
245,1/4/2015,20:28:41,Sun,Jan
246,1/4/2015,20:30:48,Sun,Jan
247,1/4/2015,20:55:29,Sun,Jan
248,1/4/2015,20:58:19,Sun,Jan
249,1/4/2015,21:06:16,Sun,Jan
250,1/4/2015,21:07:05,Sun,Jan
251,1/4/2015,21:10:05,Sun,Jan
252,1/4/2015,22:13:15,Sun,Jan
253,1/4/2015,22:16:18,Sun,Jan
254,1/4/2015,22:22:13,Sun,Jan
255,1/5/2015,11:23:35,Mon,Jan
256,1/5/2015,11:56:06,Mon,Jan
257,1/5/2015,11:59:04,Mon,Jan
258,1/5/2015,11:59:23,Mon,Jan
259,1/5/2015,12:04:25,Mon,Jan
260,1/5/2015,12:06:27,Mon,Jan
261,1/5/2015,12:38:29,Mon,Jan
262,1/5/2015,12:42:01,Mon,Jan
263,1/5/2015,12:57:22,Mon,Jan
264,1/5/2015,13:03:59,Mon,Jan
265,1/5/2015,13:04:42,Mon,Jan
266,1/5/2015,13:09:29,Mon,Jan
267,1/5/2015,13:37:50,Mon,Jan
268,1/5/2015,13:40:46,Mon,Jan
269,1/5/2015,13:49:34,Mon,Jan
270,1/5/2015,14:09:02,Mon,Jan
271,1/5/2015,14:22:19,Mon,Jan
272,1/5/2015,14:24:05,Mon,Jan
273,1/5/2015,14:28:00,Mon,Jan
274,1/5/2015,14:36:33,Mon,Jan
275,1/5/2015,14:38:14,Mon,Jan
276,1/5/2015,15:18:18,Mon,Jan
277,1/5/2015,15:41:50,Mon,Jan
278,1/5/2015,15:49:21,Mon,Jan
279,1/5/2015,16:07:03,Mon,Jan
280,1/5/2015,16:20:23,Mon,Jan
281,1/5/2015,16:33:48,Mon,Jan
282,1/5/2015,16:49:38,Mon,Jan
283,1/5/2015,16:51:43,Mon,Jan
284,1/5/2015,16:58:16,Mon,Jan
285,1/5/2015,16:58:38,Mon,Jan
286,1/5/2015,17:01:23,Mon,Jan
287,1/5/2015,17:30:09,Mon,Jan
288,1/5/2015,17:32:44,Mon,Jan
289,1/5/2015,17:36:23,Mon,Jan
290,1/5/2015,17:41:16,Mon,Jan
291,1/5/2015,17:44:39,Mon,Jan
292,1/5/2015,17:48:59,Mon,Jan
293,1/5/2015,17:58:38,Mon,Jan
294,1/5/2015,18:16:35,Mon,Jan
295,1/5/2015,18:20:12,Mon,Jan
296,1/5/2015,18:46:54,Mon,Jan
297,1/5/2015,19:02:18,Mon,Jan
298,1/5/2015,19:10:36,Mon,Jan
299,1/5/2015,19:34:31,Mon,Jan
300,1/5/2015,19:42:54,Mon,Jan
301,1/5/2015,19:45:58,Mon,Jan
302,1/5/2015,19:57:37,Mon,Jan
303,1/5/2015,20:02:51,Mon,Jan
304,1/5/2015,20:07:58,Mon,Jan
305,1/5/2015,20:35:40,Mon,Jan
306,1/5/2015,20:37:40,Mon,Jan
307,1/5/2015,21:45:38,Mon,Jan
308,1/5/2015,21:59:46,Mon,Jan
309,1/6/2015,11:39:06,Tue,Jan
310,1/6/2015,11:40:48,Tue,Jan
311,1/6/2015,11:57:27,Tue,Jan
312,1/6/2015,12:05:21,Tue,Jan
313,1/6/2015,12:09:09,Tue,Jan
314,1/6/2015,12:11:58,Tue,Jan
315,1/6/2015,12:17:40,Tue,Jan
316,1/6/2015,12:29:34,Tue,Jan
317,1/6/2015,12:31:00,Tue,Jan
318,1/6/2015,12:45:14,Tue,Jan
319,1/6/2015,12:46:22,Tue,Jan
320,1/6/2015,12:46:40,Tue,Jan
321,1/6/2015,12:56:21,Tue,Jan
322,1/6/2015,13:02:13,Tue,Jan
323,1/6/2015,13:05:33,Tue,Jan
324,1/6/2015,13:06:44,Tue,Jan
325,1/6/2015,13:07:32,Tue,Jan
